Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
6.26,0.00025867426,18579.234
6.27,0.00024272231,18683.125
6.28,0.00022389255,18716.318
6.29,0.00020336673,18680.73
6.3,0.00018212,18580.414
6.31,0.00016096541,18423.117
6.32,0.00014058535,18220.365
6.33,0.000121544675,17986.453
6.34,0.00010429157,17736.924
6.35,8.915343e-05,17486.94
6.36,7.6333505e-05,17249.879
6.37,6.591132e-05,17036.32
6.38,5.784857e-05,16853.5
6.39,5.200123e-05,16705.205
6.4,4.813779e-05,16592.053
6.41,4.5962686e-05,16512.018
6.42,4.514284e-05,16461.11
6.43,4.5334644e-05,16434.066
6.44,4.6208763e-05,16424.996
6.45,4.747033e-05,16427.904
6.46,4.8873233e-05,16437.102
6.47,5.022806e-05,16447.484
6.48,5.140397e-05,16454.713
6.49,5.2325613e-05,16455.3
6.5,5.2966254e-05,16446.656
6.51,5.3338634e-05,16427.06
6.52,5.3484637e-05,16395.62
6.53,5.346496e-05,16352.191
6.54,5.334948e-05,16297.288
6.55,5.3208845e-05,16231.951
6.56,5.310765e-05,16157.626
6.57,5.3099306e-05,16076.025
6.58,5.3222586e-05,15988.991
6.59,5.34998e-05,15898.367
6.6,5.393641e-05,15805.891
6.61,5.4521915e-05,15713.098
6.62,5.5231758e-05,15621.259
6.63,5.6030003e-05,15531.342
6.64,5.6872548e-05,15443.99
6.65,5.7710597e-05,15359.539
6.66,5.8494134e-05,15278.037
6.67,5.9175225e-05,15199.29
6.68,5.9710896e-05,15122.914
6.69,6.0065504e-05,15048.387
6.7,6.0212453e-05,14975.109
6.71,6.013526e-05,14902.456
6.72,5.982791e-05,14829.82
6.73,5.9294634e-05,14756.656
6.74,5.8549067e-05,14682.509
6.75,5.761302e-05,14607.029
6.76,5.6514866e-05,14529.99
6.77,5.5287765e-05,14451.286
6.78,5.3967768e-05,14370.925
6.79,5.2591968e-05,14289.02
6.8,5.119677e-05,14205.766
6.81,4.9816357e-05,14121.426
6.82,4.8481423e-05,14036.308
6.83,4.721822e-05,13950.737
6.84,4.6047873e-05,13865.045
6.85,4.4986064e-05,13779.541
6.86,4.404296e-05,13694.507
6.87,4.3223434e-05,13610.179
6.88,4.2527474e-05,13526.742
6.89,4.1950796e-05,13444.327
6.9,4.1485546e-05,13363.009
6.91,4.112107e-05,13282.811
6.92,4.0844745e-05,13203.707
6.93,4.0642735e-05,13125.635
6.94,4.0500716e-05,13048.498
6.95,4.040453e-05,12972.179
6.96,4.0340718e-05,12896.548
6.97,4.0296927e-05,12821.469
6.98,4.026224e-05,12746.812
6.99,4.022735e-05,12672.455
7,4.018466e-05,12598.292
7.01,4.0128256e-05,12524.237
7.02,4.0053856e-05,12450.223
7.03,3.9958635e-05,12376.205
7.04,3.9841063e-05,12302.16
7.05,3.970069e-05,12228.084
7.06,3.9537947e-05,12153.988
7.07,3.9353894e-05,12079.901
7.08,3.915007e-05,12005.86
7.09,3.892828e-05,11931.908
7.1,3.869048e-05,11858.094
7.11,3.843864e-05,11784.468
7.12,3.8184884e-05,11711.874
7.13,3.8381495e-05,11664.541
7.14,4.1385352e-05,11734.53
7.15,5.1291165e-05,12033.893
7.16,7.124876e-05,12604.572
