environment | time (second),Systemic | abdominal_aorta_C114 | u (J_per_m3),Systemic | abdominal_aorta_C114 | v (m3_per_s)
5.73,14590.9,5.87269e-5
5.74,14517.7,5.79738e-5
5.75,14443.2,5.70326e-5
5.76,14367.1,5.5932e-5
5.77,14289.3,5.4705e-5
5.78,14209.9,5.33878e-5
5.79,14129,5.20173e-5
5.8,14046.7,5.06296e-5
5.81,13963.4,4.92586e-5
5.82,13879.3,4.79346e-5
5.83,13794.7,4.66833e-5
5.84,13710.1,4.55257e-5
5.85,13625.6,4.44768e-5
5.86,13541.7,4.35465e-5
5.87,13458.4,4.27394e-5
5.88,13376,4.20552e-5
5.89,13294.7,4.14893e-5
5.9,13214.4,4.10338e-5
5.91,13135.3,4.06779e-5
5.92,13057.2,4.04089e-5
5.93,12980.1,4.02131e-5
5.94,12904,4.00762e-5
5.95,12828.7,3.99841e-5
5.96,12754,3.99234e-5
5.97,12679.9,3.9882e-5
5.98,12606.1,3.98491e-5
5.99,12532.7,3.98155e-5
6,12459.5,3.97738e-5
6.01,12386.3,3.97181e-5
6.02,12313.2,3.96443e-5
6.03,12240.1,3.95497e-5
6.04,12166.9,3.94328e-5
6.05,12093.7,3.92932e-5
6.06,12020.5,3.91314e-5
6.07,11947.3,3.89484e-5
6.08,11874.1,3.87459e-5
6.09,11801,3.85255e-5
6.1,11728.1,3.82894e-5
6.11,11655.3,3.80394e-5
6.12,11583.8,3.77914e-5
6.13,11540.9,3.80626e-5
6.14,11621.6,4.1337e-5
6.15,11936,5.17266e-5
6.16,12520.6,7.22397e-5
6.17,13320.3,0.000102669
6.18,14230.9,0.000139693
6.19,15148.5,0.000178447
6.2,15996.1,0.000214176
6.21,16727.7,0.000243245
6.22,17324.9,0.000263493
6.23,17791.3,0.000274247
6.24,18144.1,0.00027608
6.25,18402.2,0.00027034
6.26,18579.6,0.000258682
6.27,18683.4,0.000242728
6.28,18716.6,0.000223895
6.29,18681,0.000203368
6.3,18580.6,0.000182119
6.31,18423.3,0.000160963
6.32,18220.5,0.000140582
6.33,17986.6,0.000121541
6.34,17737,0.000104287
6.35,17487,8.91488e-5
6.36,17250,7.6329e-5
6.37,17036.4,6.59071e-5
6.38,16853.6,5.78448e-5
6.39,16705.3,5.1998e-5
6.4,16592.2,4.81351e-5
6.41,16512.1,4.59605e-5
6.42,16461.2,4.51412e-5
6.43,16434.2,4.53335e-5
6.44,16425.1,4.6208e-5
6.45,16428.1,4.74699e-5
6.46,16437.3,4.88731e-5
6.47,16447.7,5.02281e-5
6.48,16454.9,5.14041e-5
6.49,16455.5,5.23258e-5
6.5,16446.8,5.29665e-5
6.51,16427.2,5.33389e-5
6.52,16395.8,5.34849e-5
6.53,16352.4,5.34652e-5
6.54,16297.5,5.33498e-5
6.55,16232.1,5.32091e-5
6.56,16157.8,5.3108e-5
6.57,16076.2,5.30997e-5
6.58,15989.1,5.3223e-5
6.59,15898.5,5.35003e-5
6.6,15806,5.3937e-5
6.61,15713.2,5.45227e-5
6.62,15621.4,5.52326e-5
6.63,15531.5,5.60309e-5
6.64,15444.1,5.68736e-5
6.65,15359.7,5.77117e-5
6.66,15278.2,5.84953e-5
6.67,15199.4,5.91764e-5
6.68,15123,5.97121e-5
6.69,15048.5,6.00666e-5
6.7,14975.2,6.02136e-5
6.71,14902.6,6.01363e-5
6.72,14830,5.98289e-5
6.73,14756.8,5.92955e-5
6.74,14682.6,5.85498e-5
6.75,14607.2,5.76137e-5
6.76,14530.1,5.65154e-5
6.77,14451.4,5.52882e-5
6.78,14371.1,5.39681e-5
6.79,14289.1,5.25922e-5
6.8,14205.9,5.11969e-5
6.81,14121.5,4.98165e-5
6.82,14036.4,4.84815e-5
6.83,13950.9,4.72182e-5
6.84,13865.2,4.60479e-5
6.85,13779.7,4.49861e-5
6.86,13694.6,4.4043e-5
6.87,13610.3,4.32234e-5
6.88,13526.9,4.25275e-5
6.89,13444.4,4.19509e-5
6.9,13363.1,4.14856e-5
6.91,13282.9,4.11212e-5
6.92,13203.8,4.08449e-5
6.93,13125.7,4.06429e-5
6.94,13048.6,4.0501e-5
6.95,12972.3,4.04048e-5
6.96,12896.7,4.0341e-5
6.97,12821.6,4.02973e-5
6.98,12746.9,4.02626e-5
6.99,12672.6,4.02277e-5
7,12598.4,4.0185e-5
7.01,12524.3,4.01287e-5
7.02,12450.3,4.00543e-5
7.03,12376.3,3.9959e-5
7.04,12302.3,3.98415e-5
7.05,12228.2,3.97011e-5
7.06,12154.1,3.95383e-5
7.07,12080,3.93543e-5
7.08,12006,3.91504e-5
7.09,11932,3.89287e-5
7.1,11858.2,3.86908e-5
7.11,11784.6,3.8439e-5
7.12,11712,3.81853e-5
7.13,11664.7,3.83822e-5
7.14,11734.6,4.13858e-5
7.15,12033.9,5.12899e-5
7.16,12604.5,7.12444e-5
7.17,13395.2,0.00010123
7.18,14302.5,0.000138049
7.19,15221.3,0.000176853
7.2,16072.7,0.00021284
7.21,16809.3,0.000242297
7.22,17411.5,0.000262986
7.23,17882.4,0.000274175
7.24,18238.8,0.000276392
7.25,18499.9,0.000270966
7.26,18680,0.00025955
7.27,18786.5,0.00024377
7.28,18822.3,0.000225055
7.29,18789.2,0.000204595
7.3,18691.1,0.000183373
7.31,18535.6,0.000162208
7.32,18334.1,0.000141788
7.33,18100.6,0.000122682
7.34,17850.8,0.000105343
7.35,17599.9,9.01064e-5
7.36,17361.3,7.71795e-5
7.37,17145.8,6.66482e-5
7.38,16960.7,5.84795e-5
7.39,16810.1,5.25342e-5
7.4,16694.7,4.85845e-5
7.41,16612.5,4.63373e-5
7.42,16559.7,4.54608e-5
7.43,16531,4.56114e-5
7.44,16520.5,4.64586e-5
7.45,16522.3,4.77058e-5
7.46,16530.7,4.91043e-5
7.47,16540.4,5.0462e-5
7.48,16547.2,5.16456e-5
7.49,16547.5,5.25771e-5
7.5,16538.7,5.3228e-5
7.51,16518.9,5.36092e-5
7.52,16487.4,5.37616e-5
7.53,16443.9,5.37453e-5
7.54,16388.9,5.36298e-5
7.55,16323.4,5.3486e-5
7.56,16248.9,5.33788e-5
7.57,16166.9,5.33623e-5
7.58,16079.5,5.3476e-5
7.59,15988.4,5.3743e-5
7.6,15895.4,5.41696e-5
7.61,15802,5.47459e-5
7.62,15709.5,5.54481e-5
7.63,15618.9,5.62406e-5
7.64,15530.9,5.70797e-5
7.65,15445.7,5.79168e-5
7.66,15363.5,5.87018e-5
7.67,15284.1,5.93866e-5
7.68,15207.1,5.9928e-5
7.69,15131.9,6.029e-5
7.7,15058,6.04455e-5
7.71,14984.8,6.03775e-5
7.72,14911.7,6.00795e-5
7.73,14838,5.95554e-5
7.74,14763.4,5.88181e-5
7.75,14687.4,5.78893e-5
7.76,14609.9,5.67971e-5
7.77,14530.8,5.55742e-5
7.78,14450,5.42568e-5
7.79,14367.6,5.28819e-5
7.8,14283.9,5.14859e-5
7.81,14199.1,5.01031e-5
7.82,14113.5,4.87644e-5
7.83,14027.5,4.74963e-5
7.84,13941.3,4.63201e-5
7.85,13855.3,4.52518e-5
7.86,13769.7,4.43018e-5
7.87,13684.9,4.34752e-5
7.88,13600.9,4.27722e-5
7.89,13518,4.21888e-5
7.9,13436.1,4.17171e-5
7.91,13355.4,4.13467e-5
7.92,13275.8,4.10651e-5
7.93,13197.2,4.08584e-5
7.94,13119.5,4.07124e-5
7.95,13042.7,4.06128e-5
7.96,12966.6,4.05462e-5
7.97,12891.1,4.05002e-5
7.98,12815.9,4.04638e-5
7.99,12741.1,4.04275e-5
8,12666.5,4.03838e-5
8.01,12592,4.03267e-5
8.02,12517.5,4.02517e-5
8.03,12443.1,4.01561e-5
8.04,12368.6,4.00382e-5
8.05,12294.1,3.98975e-5
8.06,12219.6,3.97344e-5
8.07,12145.1,3.95499e-5
8.08,12070.6,3.93457e-5
8.09,11996.2,3.91234e-5
8.1,11922,3.8885e-5
8.11,11847.9,3.86325e-5
8.12,11774.8,3.83762e-5
8.13,11725.1,3.8533e-5
8.14,11788.9,4.13825e-5
8.15,12079.3,5.1001e-5
8.16,12641.2,7.06149e-5
8.17,13425.9,0.000100316
8.18,14330.5,0.000136978
8.19,15249.1,0.000175775
8.2,16101.9,0.000211876
8.21,16840.7,0.000241527
8.22,17445.3,0.000262452
8.23,17918.3,0.00027388
8.24,18276.5,0.000276318
8.25,18539.2,0.000271082
8.26,18720.8,0.000259821
8.27,18828.9,0.000244161
8.28,18866.3,0.000225536
8.29,18834.8,0.000205139
8.3,18738.3,0.000183956
8.31,18584.1,0.000162809
8.32,18383.5,0.000142387
